started at 2021-11-06T10:40:15.723Z
new block 12414529
new block 12414530
new block 12414531
new block 12414532
new block 12414533
new block 12414534
new block 12414535
new block 12414536
new block 12414537
new block 12414538
new block 12414539
new block 12414540
new block 12414541
new block 12414542
new block 12414543
new block 12414544
new block 12414545
new block 12414546
new block 12414547
new block 12414548
new block 12414549
new block 12414550
new block 12414551
new block 12414552
new block 12414553
new block 12414554
new block 12414555
new block 12414556
new block 12414557
new block 12414558
new block 12414559
new block 12414560
new block 12414561
new block 12414562
new block 12414563
new block 12414564
new block 12414565
new block 12414566
new block 12414567
new block 12414568
new block 12414569
new block 12414570
new block 12414571
new block 12414572
new block 12414573
new block 12414574
new block 12414575
new block 12414576
new block 12414577
new block 12414578
new block 12414579
new block 12414580
new block 12414581
new block 12414582
new block 12414583
new block 12414584
new block 12414585
new block 12414586
new block 12414587
new block 12414588
new block 12414589
new block 12414590
new block 12414591
new block 12414592
new block 12414593
new block 12414594
new block 12414595
new block 12414596
new block 12414597
new block 12414598
new block 12414599
SYNC-EVENT: 3:29.645 (m:ss.mmm) found misaligned state 12414597 { logsFromPoller1: 1, logsFromPoller2: 0 }
